,story_id,title,content
1,1,She nearly died in an elevator.,"I heard this when I was in Korea. One day a girl was walking home late night after work or something. It was dark and around midnight. She lived an apartment where they had an elevator. She got in the elevator and when the door was about to close, a strange man with a very red hoodie entered the elevator. He apologized for scaring her and asked which floor she is heading to, without making eye contact. She told him out of fear and the man casually press the button and the one below. As they were on the way, he asked her for her cell phone if he could use it but she declined out of suspicion and isolated herself in the corner. After seconds of silence, the elevator arrived at the floor below the one girl was heading to and the door opened. The guy slowly walked out of the door and turned around facing toward the elevator and the girl, and just stared at her without any movement. Slowly the door started to close and from the gap, she could see him turning around heading for up-stairs… pulling a knife out of his pocket."
2,2,Something was wearing her skin.,"‘Daddy, I had a bad dream.’ You blink your eyes and pull up on your elbows. Your clock glows red in the darkness—it’s 3:23. ‘Do you want to climb into bed and tell me about it?’  ‘No, Daddy.’  The oddness of the situation wakes you up more fully. You can barely make out your daughter’s pale form in the darkness of your room.  ‘Why not sweetie?’  ‘Because in my dream, when I told you about the dream, the thing wearing Mommy’s skin sat up.’ For a moment, you feel paralyzed; you can’t take your eyes off of your daughter. The covers behind you begin to shift."
9,3,My dead grandfather stopped by the house.,"Two days after my grandfather died, the neighborhood security guard knocks on our door on a Sunday morning. He told us: ‘An old man came to your house earlier, knocked on your door for half an hour, and finally left. When I asked him what he wanted, he told me he needed to say goodbye to someone he had never had the chance to meet.’ We were all stunned, had no idea who this old man was, or who was he looking for. When the guard came in, he shouted: ‘That’s the old man!!’ pointing at a picture of my grandfather. My entire family froze for a minute. I’m not 100% sure if the guard was telling the truth, but I almost like believing that my grandad wanted to say goodbye to my newborn sister, before resting in peace."
10,4,Who was turning the doorknob?,"When my family hit hard times we had to move into a small house where our uncle had recently shot and killed himself. He had done this because of his depression after his wife had overdosed on pills, and died the summer before. It all happened so quickly that when we moved in there was still a bit of blood in one of the rooms. But on the third or fourth night of living there, my sister and I, who were sharing a room in the tiny house, were awake in our room playing video games at around 1-2 in the morning, when someone knocks at our door. We didn’t think anything of it and shouted for whoever was outside our door to come in. No answer. Another knock. We stop and stare at the door and another knock comes, the doorknob does a full rotation and snaps back as if someone turned it and let go very quickly. I get up and open the door expecting to see one of my other sisters or my mother, the only other people in the house. I opened the door and stared into an empty hallway. I walk down the hall and peek into the other bedroom, my two younger sisters and my mother are both fast asleep."
11,5,There was an eerie message on our television.,"I have a really good one that is actually true; it happened to me. This could have been a dream, but I testify to this day that what I saw was a ghost. So here I am, a young boy who awoke in the middle of the night. I am currently sharing a bunk bed with my brother, and I am on the top bunk. I look out into my living room and notice everything is dark, however, there is a person in an evening gown dusting my fireplace mantle. The woman was slender, which threw me off guard because my mom is obese. I yelled out ‘mom?’ To the person dusting the counter, and the person turned around. It was not my mom, but some older woman. Suddenly, she shrieks, and her face becomes severely deformed. It was like that shit you see in horror movies, like ridiculously scary especially for a young kid I blink my eyes and she was gone. I somehow went back to bed, and the next morning I went to my living room and noticed that even though the tv was off, there was something ‘written’ on the screen. It said: ‘Do not be afraid.’ The text slowly faded, and no one else saw it. As a young boy, this was, and still is, extremely terrifying to me."
12,6,Playing hide and seek with Alli.,"I still have fresh memories of this. When I was very young, about three or four, I remember having a friend named Alli. Alli lived with me and I would play hide and seek with her in the back yard. Alli was a year older than me. Alli loved my mom but wouldn’t stay long enough to meet her. My mom didn’t believe I had a friend named Alli, I kept telling her, and my mom first got a very white face and told me to stop, and Alli isn’t real. Well one night Alli told me she had to leave, so she did. Never heard from her again. Fast forward to when I was 16, and mom told me that before I was born I had a sister named Alli, and she had passed away due to complications (idr what the problem was, something about her lungs I think). My mom tells me that it was probably all a coincidence since a divorce was going on during that time and I wanted a friend. But I still remember everything about Alli, and I refuse to believe it was all pretend."
20,7,The man that comes and talks to us at night until we fall asleep.,"I have four little cousins in who never got to meet my grandfather—he passed before they were born. One morning, they ran downstairs for breakfast as they usually do. As my uncle was getting their food ready, one pointed to the fridge and said ‘that’s him!’ My uncle, not thinking much of it, said ‘who?’ and looked over. They were pointing at a picture of my grandfather that they never got to meet. My cousin responded ‘The man that comes and talks to us at night until we fall asleep sometimes!’"
21,8,‘Please tell the little girl to get out of my room.’,"I worked night shift as a palliative care RN in a very big, very old nursing home. It’s important to note that this home and the religious organization that ran it are currently part of the royal inquiry into the institutional response to the abuse of children. The nurses that had worked there for 30+ years used to delight in telling younger staff that when it was used as a children’s home they used to bury children that died in the rose garden. This old rose garden was apparently under a newer wing of the home. At least four times in my two years of working there we would have elderly, close to death patients wake, totally lucid in the dead of night and ask us ‘please tell the little girl to get out of my room’ or ‘please get that little boy out of the corner, he’s looking at me.’ Being in this huge, dark, old, creepy building that had a very awful history and then that happening? Fuck that, I would never do my rounds alone when it happened, it was terrifying! It made my blood run cold and I’d get a friend to work with me the rest of the night. I was not the only person this happened to, either. It was a regular occurrence."
25,9,Ghost writing appeared on the wall in paint.,"When I was in high school, my family had to move from central Texas back to West Texas for my dad’s job. We were under a lot of stress and other family issues at the time as well, but that is beside the point. My sister and my mom were painting the upstairs walls as we got the house to get ready. My mom was on the wall to the far right, there was a blank wall in the middle, and my sister was on the far left. I was downstairs packing up things into boxes. Anyway, suddenly, my sister comes downstairs (she is older than me) looking scared out of her mind. She asks me to come upstairs. On the wall in between them, for no apparent reason, this ‘writing’ appeared. Looking closely enough, you can see it was not written by accident, but rather by broad strokes made by a human hand. Problem is, the handprint is too big for any of us three to make it. The longer we stayed in the room, the more freaked out we got as we realized that nobody was playing a prank on anyone else. I still have no explanation to this day of what it means."
26,10,This Number Has Been Disconnected.,"A few years ago my brother would get a call on his cellphone around 2:00 – 3:00 A.M. every night. He would answer and it was this hellish sounding noise. Like static mixed with screams. He changed his cell number after a month of this and it stopped. Then after a week or so it began again. The exact same noise. Exact same time. Finally one day he decided to back dial the call. It was an old man that had no clue what he was talking about. Still, the calls persisted. If he didn’t answer, it would call a few more times. No messages were left. He decided to say screw it. Ended his contract with his phone company, switched to a new one and then got another new number. You guessed it, the screaming static calls continued after a short delay. By this time he was terrified every night. Unsure why this was happening. He back dialed the number again and got a different person. Around this time he lost his job and his phone. The calls stopped of course. His phone was disconnected now. So one day my mom asks me to listen to this weird message she got on our home phone. It was the static screaming. We showed my brother and he was freaking out. He back dialed the number again and it said the number was disconnected this time. Never heard from it again after that."
